date,campaign_name,channel,spend,impressions,clicks,conversions,revenue,roas,ctr,conversion_rate,cost_per_conversion,target_audience
2023-09-14,Fall Preview,Email,1800,110000,8800,440,30800,17.11,8.00,5.00,4.09,Existing Customers
2023-09-21,Anniversary Sale,Facebook,9000,850000,29750,595,41650,4.63,3.50,2.00,15.13,General
2023-09-28,Anniversary Sale,Google Search,8500,360000,18000,720,50400,5.93,5.00,4.00,11.81,General
2023-10-05,Anniversary Sale,Instagram,6500,580000,17400,348,24360,3.75,3.00,2.00,18.68,Young Adults
2023-10-12,Anniversary Sale,TikTok,5500,830000,24900,498,34860,6.34,3.00,2.00,11.04,Young Adults
2023-10-19,Anniversary Sale,YouTube,7000,600000,18000,360,25200,3.60,3.00,2.00,19.44,General
2023-10-26,Anniversary Sale,Email,3500,170000,13600,680,47600,13.60,8.00,5.00,5.15,Existing Customers
2023-11-02,Black Friday Preview,Facebook,10000,950000,33250,665,46550,4.66,3.50,2.00,15.04,General
2023-11-09,Black Friday Preview,Google Search,9000,400000,20000,800,56000,6.22,5.00,4.00,11.25,General
2023-11-16,Black Friday Preview,Instagram,7000,650000,19500,390,27300,3.90,3.00,2.00,17.95,Young Adults
2023-11-23,Black Friday,Facebook,15000,1400000,49000,980,68600,4.57,3.50,2.00,15.31,General
2023-11-24,Black Friday,Google Search,12000,550000,27500,1100,77000,6.42,5.00,4.00,10.91,General
2023-11-25,Black Friday,Instagram,9000,850000,25500,510,35700,3.97,3.00,2.00,17.65,Young Adults
2023-11-26,Black Friday,TikTok,8000,1200000,36000,720,50400,6.30,3.00,2.00,11.11,Young Adults
2023-11-27,Cyber Monday,Facebook,14000,1350000,47250,945,66150,4.73,3.50,2.00,14.81,General
2023-11-28,Cyber Monday,Google Search,11000,500000,25000,1000,70000,6.36,5.00,4.00,11.00,General
2023-11-29,Cyber Monday,Instagram,8000,780000,23400,468,32760,4.10,3.00,2.00,17.09,Young Adults
2023-12-06,Holiday Gift Guide,Facebook,8000,750000,26250,525,36750,4.59,3.50,2.00,15.24,General
2023-12-13,Holiday Gift Guide,Google Search,7000,300000,15000,600,42000,6.00,5.00,4.00,11.67,General
2023-12-20,Last Minute Gifts,Facebook,6000,550000,19250,385,26950,4.49,3.50,2.00,15.58,General
2023-12-27,End of Year Sale,Facebook,5000,450000,15750,315,22050,4.41,3.50,2.00,15.87,General
2023-12-31,End of Year Sale,Google Search,4500,195000,9750,390,27300,6.07,5.00,4.00,11.54,General 
